test,metric,statistic,p_value,p_adj,effect_size,ci_low,ci_high,conclusion
McNemar exact (overall),OA,268.0,8.621318556210287e-40,8.621318556210287e-40,5.955555555555556,,,7-Band > RGB
Z-test two Kappas (Congalton & Green),Kappa,9.79155393084864,0.0,0.0,0.10800109759177057,,,7-Band > RGB
Paired bootstrap (B=10000),OA_7B,0.9391094761904762,,,0.9391094761904762,0.9285714285714286,0.949047619047619,CI excludes 0
Paired bootstrap (B=10000),OA_RGB,0.833003,,,0.833003,0.8166666666666667,0.8485714285714285,CI excludes 0
Paired bootstrap (B=10000),dOA,0.1061064761904762,0.0,0.0,0.1061064761904762,0.09000000000000008,0.12238095238095237,CI excludes 0
Paired bootstrap (B=10000),Kappa_7B,0.9289292723092895,,,0.9289292723092895,0.9166322697571683,0.9405358828431214,CI excludes 0
Paired bootstrap (B=10000),Kappa_RGB,0.8210001511401857,,,0.8210001511401857,0.803087673851717,0.8385661101167753,CI excludes 0
Paired bootstrap (B=10000),dKappa,0.10792912116910365,,,0.10792912116910365,0.08963268286325425,0.12614707194831973,CI excludes 0
Paired bootstrap (B=10000),MacroF1_7B,0.9399209045011707,,,0.9399209045011707,0.9296724345940401,0.9496810880866572,CI excludes 0
Paired bootstrap (B=10000),MacroF1_RGB,0.8370348934933379,,,0.8370348934933379,0.8214182144406048,0.8523762857998597,CI excludes 0
Paired bootstrap (B=10000),dMacroF1,0.10288601100783276,,,0.10288601100783276,0.08744315116695511,0.11868253091852499,CI excludes 0
Per-class McNemar [Tree],OA (class),5.0,0.01690053939819336,0.06138671133052043,0.29411764705882354,,,n.s.
Per-class McNemar [Building],OA (class),69.0,3.3881317890172014e-21,2.0328790734103208e-20,inf,,,7-Band
Per-class McNemar [Road],OA (class),2.0,1.0,1.0,0.6666666666666666,,,n.s.
Per-class McNemar [Vehicle],OA (class),47.0,3.708322537931963e-11,1.8541612689659814e-10,15.666666666666666,,,7-Band
Per-class McNemar [Grass],OA (class),34.0,0.015346677832630107,0.06138671133052043,2.125,,,n.s.
Per-class McNemar [Bare Soil],OA (class),7.0,0.548828125,1.0,1.75,,,n.s.
Per-class McNemar [Shadow-Noise],OA (class),104.0,1.3982559545042434e-28,9.787791681529704e-28,52.0,,,7-Band
